Year,Country,Region,Log_GDP,Generosity,Population
2020,China,East Asia,9.688568115,-0.18142575,1402112000
2021,China,East Asia,9.673,-0.146,1402112000
2019,China,East Asia,9.68761158,0.058,1397715000
2020,India,South Asia,8.849823952,0.057551607,1380004385
2021,India,South Asia,8.755,0.089,1380004385
2019,India,South Asia,8.817933083,0.2,1366417756
2020,United States,North America and ANZ,10.92576885,0.149891734,329484123
2021,United States,North America and ANZ,11.023,0.098,329484123
2019,United States,North America and ANZ,11.04335308,0.28,328329953
2020,Indonesia,Southeast Asia,9.36975193,0.519586504,273523621
2021,Indonesia,Southeast Asia,9.365,0.542,273523621
2019,Indonesia,Southeast Asia,9.376888275,0.498,270625567
2020,Pakistan,South Asia,8.482727051,0.04489987,220892331
2021,Pakistan,South Asia,8.458,0.098,220892331
2019,Pakistan,South Asia,8.453290939,0.22,216565317
2020,Brazil,Latin America and Caribbean,9.56643486,-0.101812392,212559409
2021,Brazil,Latin America and Caribbean,9.577,-0.071,212559409
2019,Brazil,Latin America and Caribbean,9.592306137,0.099,211049519
2020,Nigeria,Sub-Saharan Africa,8.57662487,0.033745807,206139587
2021,Nigeria,Sub-Saharan Africa,8.533,0.037,206139587
2019,Nigeria,Sub-Saharan Africa,8.543931961,0.215,200963603
2020,Bangladesh,South Asia,8.287063599,-0.033664726,164689383
2021,Bangladesh,South Asia,8.454,-0.041,164689383
2019,Bangladesh,South Asia,8.466684341,0.166,163046173
2019,Russia,Commonwealth of Independent States,10.20521832,0.082,144406261
2020,Russia,Commonwealth of Independent States,10.12887192,-0.151153743,144104080
2021,Russia,Commonwealth of Independent States,10.189,-0.111,144104080
2020,Mexico,Latin America and Caribbean,9.797797203,-0.175266623,128932753
2021,Mexico,Latin America and Caribbean,9.859,-0.147,128932753
2019,Mexico,Latin America and Caribbean,9.890727997,0.074,127575529
2019,Japan,East Asia,10.63174343,0.069,126264931
2020,Japan,East Asia,10.57968903,-0.246910349,125836021
2021,Japan,East Asia,10.611,-0.258,125836021
2020,Ethiopia,Sub-Saharan Africa,7.509385586,0.043377332,114963583
2021,Ethiopia,Sub-Saharan Africa,7.694,0.082,114963583
2019,Ethiopia,Sub-Saharan Africa,7.705131054,0.209,112078727
2020,Philippines,Southeast Asia,8.993545532,-0.105463006,109581085
2021,Philippines,Southeast Asia,9.076,-0.097,109581085
2019,Philippines,Southeast Asia,9.094724655,0.117,108116622
2020,Egypt,Middle East and North Africa,9.316541672,-0.196878314,102334403
2021,Egypt,Middle East and North Africa,9.367,-0.182,102334403
2019,Egypt,Middle East and North Africa,9.372735977,0.076,100388076
2020,Vietnam,Southeast Asia,8.809545517,-0.094533332,97338583
2021,Vietnam,Southeast Asia,8.973,-0.098,97338583
2019,Vietnam,Southeast Asia,8.992330551,0.147,96462108
2020,Congo (Brazzaville),Sub-Saharan Africa,8.536987305,-0.123674095,89561404
2021,Congo (Brazzaville),Sub-Saharan Africa,8.117,-0.068,89561404
2019,Congo (Brazzaville),Sub-Saharan Africa,8.101092339,0.105,86790568
2020,Turkey,Middle East and North Africa,10.12941933,-0.171046436,84339067
2021,Turkey,Middle East and North Africa,10.24,-0.139,84339067
2020,Iran,Middle East and North Africa,9.813719749,0.117891103,83992953
2021,Iran,Middle East and North Africa,9.584,0.218,83992953
2019,Turkey,Middle East and North Africa,10.24592018,0.083,83429607
2020,Germany,Western Europe,10.7328186,0.080179386,83240525
