,Country,Region,Gen_2019,Log_GDP_2020,Gen_2020,Log_GDP_2021,Gen_2021,Log_GDP_2019,Pop_2020
0,Finland,Western Europe,0.153,10.63926697,-0.059482019,10.775,-0.098,10.791812896728516,5530719.0
1,Denmark,Western Europe,0.252,10.77400112,0.066201776,10.933,0.03,10.954032897949219,5831404.0
2,Norway,Western Europe,0.271,11.08780384,0.13453263,11.053,0.093,11.06088924407959,5379475.0
3,Iceland,Western Europe,0.354,10.77255917,0.246944219,10.878,0.16,10.930853843688965,366425.0
4,Netherlands,Western Europe,0.322,10.81271172,0.20761244,10.932,0.175,10.953283309936523,17441139.0
5,Switzerland,Western Europe,0.263,10.97993279,0.105911039,11.117,0.025,11.136453628540039,8636896.0
6,Sweden,Western Europe,0.267,10.75879383,0.111614622,10.867,0.086,10.881908416748047,10353442.0
7,New Zealand,North America and ANZ,0.33,10.50094318,0.191598073,10.643,0.134,10.666336059570312,5084300.0
8,Canada,North America and ANZ,0.285,10.69236851,0.124770768,10.776,0.089,10.800215721130371,38005238.0
9,Austria,Western Europe,0.244,10.7428236,0.085429221,10.906,0.042,10.939380645751953,8917205.0
10,Australia,North America and ANZ,0.332,10.72059631,0.19046016,10.796,0.159,10.814892768859863,25687041.0
11,Costa Rica,Latin America and Caribbean,0.144,9.658156395,-0.10242971,9.88,-0.126,9.885446548461914,5094114.0
12,Israel,Middle East and North Africa,0.261,10.41752529,0.10259372,10.575,0.031,10.600674629211426,9216900.0
13,Luxembourg,Western Europe,0.194,11.45068073,-0.004620588,11.647,-0.034,11.648168563842773,632275.0
14,United Kingdom,Western Europe,0.348,10.60013485,0.263732493,10.707,0.233,10.751484870910645,67215293.0
15,Ireland,Western Europe,0.298,11.16097832,0.145784974,11.342,0.077,11.371147155761719,4994724.0
16,Germany,Western Europe,0.261,10.7328186,0.080179386,10.873,0.011,10.893314361572266,83240525.0
17,Belgium,Western Europe,0.16,10.6736393,-0.078691199,10.823,-0.153,10.853363990783691,11555997.0
18,United States,North America and ANZ,0.28,10.92576885,0.149891734,11.023,0.098,11.043353080749512,329484123.0
19,Czech Republic,Central and Eastern Europe,0.046,10.40416336,-0.230861515,10.556,-0.208,,10698896.0
20,United Arab Emirates,Middle East and North Africa,0.262,11.1099987,0.123450845,11.085,0.074,11.114224433898926,9890400.0
21,Malta,Western Europe,0.375,10.53383827,0.214965805,10.674,0.133,10.676836013793945,525285.0
22,Mexico,Latin America and Caribbean,0.074,9.797797203,-0.175266623,9.859,-0.147,9.890727996826172,128932753.0
23,France,Western Europe,0.111,10.58422279,-0.130641967,10.704,-0.147,10.740378379821777,67391582.0
24,Chile,Latin America and Caribbean,0.187,10.0320549,-0.065668367,10.071,-0.044,10.09518814086914,19116209.0
25,Guatemala,Latin America and Caribbean,0.175,8.924805641,-0.042938665,9.053,-0.038,9.063875198364258,16858333.0
26,Saudi Arabia,Middle East and North Africa,0.08,10.79781246,-0.168695062,10.743,-0.149,10.757097244262695,34813867.0
27,Spain,Western Europe,0.153,10.46292686,-0.050961714,10.571,-0.081,10.618477821350098,47351567.0
28,Panama,Latin America and Caribbean,0.109,10.03423405,-0.153927714,10.35,-0.166,10.356431007385254,4314768.0
29,Brazil,Latin America and Caribbean,0.099,9.56643486,-0.101812392,9.577,-0.071,9.592306137084961,212559409.0
30,Uruguay,Latin America and Caribbean,0.127,9.948192596,-0.101103112,9.966,-0.092,9.978644371032715,3473727.0
31,Singapore,Southeast Asia,0.271,11.39552116,0.029879224,11.488,-0.018,11.485980033874512,5685807.0
32,El Salvador,Latin America and Caribbean,0.093,8.909075737,-0.121072978,9.054,-0.11,9.079774856567383,6486201.0
33,Italy,Western Europe,0.158,10.48183632,-0.043460999,10.623,-0.084,10.65520191192627,59554023.0
34,Bahrain,Middle East and North Africa,0.255,10.67638016,0.13372919,10.669,0.089,10.714990615844727,1701583.0
35,Slovakia,Central and Eastern Europe,0.121,10.34774971,-0.124409303,10.369,-0.124,10.397956848144531,
36,Poland,Central and Eastern Europe,0.117,10.26512432,-0.205084071,10.382,-0.165,10.406877517700195,37950802.0
37,Uzbekistan,Commonwealth of Independent States,0.322,8.740371704,0.248427153,8.836,0.311,8.853480339050293,34232050.0
38,Lithuania,Central and Eastern Europe,0.043,10.34362602,-0.219725296,10.499,-0.203,10.517995834350586,2794700.0
39,Colombia,Latin America and Caribbean,0.099,9.500369072,-0.161235645,9.557,-0.135,9.597702026367188,50882884.0
40,Slovenia,Central and Eastern Europe,0.144,10.39232254,-0.080603383,10.529,-0.101,10.563304901123047,2100126.0
41,Nicaragua,Latin America and Caribbean,0.2,8.493160248,0.020959141,8.62,0.02,8.59546947479248,6624554.0
42,Kosovo,Central and Eastern Europe,0.262,9.204429626,0.190933764,9.318,0.257,9.33853530883789,1775378.0
43,Argentina,Latin America and Caribbean,0.066,9.810955048,-0.194913864,9.962,-0.182,10.00033950805664,45376763.0
44,Romania,Central and Eastern Europe,0.083,10.107584,-0.19781521,10.284,-0.219,10.305913925170898,19286123.0
45,Cyprus,Western Europe,0.19,10.40570259,0.043731496,10.576,-0.015,10.585186958312988,1207361.0
46,Ecuador,Latin America and Caribbean,0.126,9.246058464,-0.127014965,9.313,-0.124,9.339201927185059,17643060.0
47,Kuwait,Middle East and North Africa,0.142,11.08982468,-0.100184701,10.817,-0.104,10.816696166992188,4270563.0
48,Thailand,Southeast Asia,0.359,9.741791725,0.268685192,9.805,0.287,9.823529243469238,69799978.0
49,Latvia,Central and Eastern Europe,0.075,10.17531967,-0.186888844,10.315,-0.162,10.336246490478516,1901548.0
50,South Korea,East Asia,0.175,10.51056671,-0.043404032,10.651,-0.083,10.661044120788574,
51,Estonia,Central and Eastern Europe,0.103,10.34001732,-0.111697771,10.481,-0.106,10.510815620422363,1331057.0
52,Jamaica,Latin America and Caribbean,0.107,9.006250381,-0.125106767,9.186,-0.137,9.186201095581055,2961161.0
53,Mauritius,Sub-Saharan Africa,0.215,9.956786156,-0.018318573,10.008,-0.054,10.04278564453125,1265740.0
54,Japan,East Asia,0.069,10.57968903,-0.246910349,10.611,-0.258,10.631743431091309,125836021.0
55,Honduras,Latin America and Caribbean,0.246,8.424534798,0.086969115,8.648,0.081,8.653117179870605,9904608.0
56,Kazakhstan,Commonwealth of Independent States,0.146,10.11465836,-0.068488635,10.155,-0.069,10.179278373718262,18754440.0
